epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
120,6993.72,1.26199,0.62935,1.23946,0.60896,0.71805,0.67521,0.39619,1.45208,0.78416,1.22725,0.000161922,0.000161922,0.000161922
121,7037.29,1.26471,0.63469,1.23569,0.58375,0.74294,0.69356,0.41101,1.42649,0.81561,1.21369,0.000154982,0.000154982,0.000154982
122,7081.04,1.26494,0.62509,1.24101,0.56227,0.75562,0.66219,0.3966,1.42498,0.75195,1.20753,0.000148177,0.000148177,0.000148177
123,7124.76,1.24149,0.62693,1.24362,0.59775,0.75178,0.69466,0.40639,1.4327,0.76051,1.21891,0.00014151,0.00014151,0.00014151
124,7168.45,1.2642,0.62406,1.24244,0.58067,0.74601,0.6797,0.40851,1.44327,0.75274,1.21908,0.000134983,0.000134983,0.000134983
125,7212.02,1.24516,0.62858,1.24423,0.58514,0.7497,0.66364,0.40612,1.43358,0.77681,1.20457,0.000128599,0.000128599,0.000128599
126,7255.61,1.24287,0.61843,1.23916,0.59637,0.70541,0.67999,0.41123,1.42515,0.76229,1.19964,0.00012236,0.00012236,0.00012236
127,7299.27,1.24016,0.62482,1.23451,0.59673,0.77098,0.68672,0.41412,1.41876,0.76372,1.1963,0.000116268,0.000116268,0.000116268
128,7343.1,1.2508,0.62795,1.22994,0.58317,0.76622,0.68507,0.40892,1.42176,0.7587,1.20435,0.000110326,0.000110326,0.000110326
129,7386.59,1.22602,0.611,1.25006,0.60036,0.75956,0.69135,0.40945,1.42257,0.74813,1.21406,0.000104537,0.000104537,0.000104537
130,7437.03,1.2309,0.60773,1.24058,0.60996,0.73388,0.68565,0.4097,1.42976,0.74166,1.21119,9.89013e-05,9.89013e-05,9.89013e-05
131,7480.78,1.23191,0.61183,1.24312,0.61218,0.74524,0.69428,0.40737,1.42778,0.75358,1.21153,9.34225e-05,9.34225e-05,9.34225e-05
132,7524.43,1.23159,0.6098,1.24114,0.64421,0.74651,0.6972,0.4038,1.41525,0.774,1.20621,8.81025e-05,8.81025e-05,8.81025e-05
133,7568.08,1.23631,0.61857,1.2246,0.64551,0.71865,0.70665,0.41464,1.42813,0.80635,1.21194,8.29431e-05,8.29431e-05,8.29431e-05
134,7611.7,1.22404,0.61018,1.2493,0.64377,0.71641,0.71181,0.41472,1.44107,0.78006,1.21878,7.79465e-05,7.79465e-05,7.79465e-05
135,7655.37,1.23361,0.6185,1.23402,0.61004,0.73028,0.70144,0.41478,1.41896,0.73983,1.19734,7.31145e-05,7.31145e-05,7.31145e-05
136,7699.03,1.23009,0.60691,1.22936,0.61684,0.68339,0.70093,0.407,1.42792,0.74718,1.2039,6.8449e-05,6.8449e-05,6.8449e-05
137,7742.64,1.22121,0.6172,1.2364,0.56584,0.75012,0.70044,0.40606,1.41001,0.74504,1.1926,6.39518e-05,6.39518e-05,6.39518e-05
138,7786.22,1.23122,0.60696,1.2326,0.59567,0.72912,0.70273,0.41244,1.4249,0.74735,1.20057,5.96246e-05,5.96246e-05,5.96246e-05
139,7829.91,1.22166,0.60666,1.22936,0.58586,0.73617,0.69453,0.41647,1.42063,0.7463,1.2004,5.54691e-05,5.54691e-05,5.54691e-05
140,7873.42,1.23503,0.60147,1.23139,0.58354,0.73897,0.70485,0.41997,1.42583,0.75033,1.2057,5.1487e-05,5.1487e-05,5.1487e-05
141,7917.24,1.22282,0.60734,1.22906,0.57346,0.7391,0.68566,0.41304,1.4186,0.74082,1.19972,4.76796e-05,4.76796e-05,4.76796e-05
142,7960.99,1.22302,0.60807,1.22625,0.59154,0.72417,0.68531,0.4064,1.41745,0.751,1.20022,4.40486e-05,4.40486e-05,4.40486e-05
143,8004.63,1.22338,0.60604,1.21873,0.60801,0.69759,0.68637,0.4049,1.41588,0.7515,1.1965,4.05953e-05,4.05953e-05,4.05953e-05
144,8048.39,1.23075,0.61105,1.21461,0.61484,0.72831,0.68056,0.40182,1.41416,0.76286,1.19663,3.7321e-05,3.7321e-05,3.7321e-05
145,8092.05,1.22619,0.60157,1.23266,0.60025,0.74217,0.68854,0.40555,1.40883,0.75406,1.19472,3.4227e-05,3.4227e-05,3.4227e-05
